psraid,sample,int_date,fips,state,cregion,density,usr,vote01,pial1,pial2,pial3,pial4a,pial4b,pial4c,pial4d,pial4e,pial4f,pial5a,pial5b,pial5c,pial6a,pial6b,ql1,ql1a,qc1,hh1,employ,par,sex,age,educ2,hisp,race,inc,reg,party,partyln,ideo,zipcode,iphoneuse,hphoneuse,weight,standwt
101504,1,101312,9007,9,1,3,S,1,2,2,2, , , , , , , , , , , ,1, , ,1,2,2,2,64,4,2,1,3,1,3,2,4,06480,2,2,1.47368421052632,.346542540594307
101516,1,101312,55117,55,2,2,S,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1, , ,1,3,2,2,76,3,2,1,2,1,1, ,4,53085,2,2,1.52631578947368,.358919059901246
101517,1,101312,19045,19,2,1,R,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1, , ,2,1,2,1,65,3,2,1,5,1,1, ,2,52742,2,2,2.68421052631579,.631202484653916
101521,1,101312,22089,22,3,2,S,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1, , ,1,3,1,2,59,5,2,4,3,1,2, ,3,70057,2,2,1.36842105263158,.321789501980428
101524,1,101312,42003,42,1,4,S,3,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,1, ,2,3,1,2,54,8,2,4,9,1,1, ,1,15044,1,2,7.15789473684211,1.68320662574378
101525,1,101312,42013,42,1,2,U,1,2,2,2, , , , , , , , , , , ,2,2, ,1,3,2,1,84,3,2,1,2,1,3,9,1,16602,1,1,3.31578947368421,.77972071633719
101531,1,101312,48113,48,3,5,S,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1, , ,3,3,2,2,72,4,2,1,5,1,1, ,3,75228,2,2,2.94736842105263,.693085081188613
101537,1,101312,51199,51,3,3,S,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1, , ,1,3,2,2,82,6,2,1,99,1,3,2,3,23692,2,2,1,.235153866831851
101546,1,101312,37183,37,3,4,U,1,2,2,2, , , , , , , , , , , ,1, , ,1,1,2,1,68,8,2,4,9,1,3,9,3,27614,2,2,1,.235153866831851
101549,1,101312,51810,51,3,4,U,1,1,1,1,2,1,1,1,2,2,2,1,1,2,2,1, , ,3,1,2,2,53,6,2,1,9,1,2, ,3,23464,2,2,3.57894736842105,.841603312871888
101555,1,101312,51107,51,3,3,R,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1, , ,2,1,2,2,55,3,2,1,9,1,1, ,3,20176,2,2,3.52631578947368,.829226793564948
101557,1,101312,13067,13,3,4,S,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1, , ,1,1,2,1,49,4,2,2,6,1,3,2,3,30168,2,2,2.57894736842105,.606449446040037
101564,1,101312,23011,23,1,2,R,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,1, , ,2,1,2,2,62,5,2,1,7,1,2, ,4,04284,2,2,3.15789473684211,.742591158416372
101585,1,101312,39035,39,2,5,S,1,2,2,2, , , , , , , , , , , ,1, , ,1,3,2,1,71,2,2,2,3,1,2, ,2,44124,2,2,7.68421052631579,1.80697181881317
101588,1,101312,6065,6,4,2,S,1,2,2,2, , , , , , , , , , , ,1, , ,2,3,2,1,67,3,2,1,99,1,2, ,2,92530,2,2,3.94736842105263,.928238948020464
101595,1,101312,37119,37,3,4,U,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,1, , ,2,3,2,1,75,6,2,1,7,1,1, ,3,28214,2,2,1.73684210526316,.408425137129004
101596,1,101312,12086,12,3,4,S,1,2,2,2, , , , , , , , , , , ,1, , ,2,3,2,2,54,3,2,2,2,1,2, ,5,33054,2,2,9,2.11638480148666
101602,1,101312,39035,39,2,5,S,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1, , ,2,3,2,2,73,3,2,1,2,1,1, ,2,44125,2,2,3.8421052631579,.903485909406585
101603,1,101312,23005,23,1,2,S,1,2,2,2, , , , , , , , , , , ,1, , ,1,3,2,2,81,8,2,1,3,1,3,2,4,04079,2,2,1,.235153866831851
101607,1,101312,12019,12,3,2,S,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1, , ,3,3,2,2,74,3,2,1,3,1,1, ,2,32656,2,2,3.15789473684211,.742591158416372
101610,1,101412,36055,36,1,4,S,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1, , ,4,1,2,1,54,6,2,1,8,1,2, ,4,14534,2,2,3.47368421052632,.816850274258009
101631,1,101312,26033,26,2,1,R,1,2,2,2, , , , , , , , , , , ,1, , ,2,3,2,2,71,3,2,1,99,1,1, ,1,49783,2,2,2.31578947368421,.544566849505339
101635,1,101312,37133,37,3,2,S,3,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2, ,2,3,2,2,68,4,2,1,3,1,3,1,3,28539,1,1,4.89473684210526,1.15101629554538
101637,1,101312,42041,42,1,3,S,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1, , ,2,3,2,1,79,8,2,3,5,1,2, ,3,17043,2,2,1.89473684210526,.445554695049823
101639,1,101312,34013,34,1,5,S,3,1,1,1,2,2,2,2,2,2,1,2,1,2,2,1, , ,2,1,1,1,38,8,2,2,9,1,3,9,4,07111,2,2,7.42105263157895,1.74508922227847
101647,1,101312,36075,36,1,2,S,3,1,1,1,1,1,1,2,1,1,2,1,1,2,2,1, , ,4,3,1,2,29,3,2,4,3,1,3,9,3,13126,2,2,6.8421052631579,1.60894750990214
